scheme_code,scheme_name,isin_growth,original_scheme_name,normalized_underlying_name,normalization_rule_version,is_direct,is_regular,is_growth,is_idcw,plan_classification,manual_classification,reviewer_reason,audit_timestamp
150682,SBI CRISIL IBX Gilt Index - June 2036 Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),INF200KA13Q7,SBI CRISIL IBX Gilt Index - June 2036 Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),crisil ibx gilt index june 2036 fund income distribution cum capital withdrawal,1.0,True,False,False,True,Direct IDCW,,,
143737,UTI Fixed Term Income fund - Series XXIX - VII (1135 DAYS) - Direct Plan - Quarterly IDCW,INF789FC18V4,UTI Fixed Term Income fund - Series XXIX - VII (1135 DAYS) - Direct Plan - Quarterly IDCW,fixed term income fund series xxix vii 1135 days quarterly,1.0,True,False,False,True,Direct IDCW,,,
144945,ICICI Prudential Fixed Maturity Plan - Series 84 - 1103 Days Plan C - Direct Plan Quarterly IDCW Option,INF109KC1KS1,ICICI Prudential Fixed Maturity Plan - Series 84 - 1103 Days Plan C - Direct Plan Quarterly IDCW Option,fixed maturity series 84 1103 days c quarterly,1.0,True,False,False,True,Direct IDCW,,,
120056,HSBC Gilt Fund - Monthly Dividend Direct,INF336L01DB8,HSBC Gilt Fund - Monthly Dividend Direct,hsbc gilt fund monthly,1.0,True,False,False,True,Direct IDCW,,,
144771,NIPPON INDIA FIXED HORIZON FUND - XXXIX - SERIES 2 - DIRECT Plan - IDCW Option,INF204KB1H74,NIPPON INDIA FIXED HORIZON FUND - XXXIX - SERIES 2 - DIRECT Plan - IDCW Option,fixed horizon fund xxxix series 2,1.0,True,False,False,True,Direct IDCW,,,
148494,HSBC Dynamic Bond Fund - Direct Monthly IDCW,INF336L01PI7,HSBC Dynamic Bond Fund - Direct Monthly IDCW,hsbc dynamic bond fund monthly,1.0,True,False,False,True,Direct IDCW,,,
127229,ICICI Prudential Fixed Maturity Plan-Series 72-1075 Days Plan Q - Direct Plan - Dividend,INF109KA1NQ1,ICICI Prudential Fixed Maturity Plan-Series 72-1075 Days Plan Q - Direct Plan - Dividend,fixed maturity series 72 1075 days q,1.0,True,False,False,True,Direct IDCW,,,
153454,Groww Nifty 500 Momentum 50 ETF FOF - Direct Plan - IDCW,INF666M01JY5,Groww Nifty 500 Momentum 50 ETF FOF - Direct Plan - IDCW,groww nifty 500 momentum 50 etf fof,1.0,True,False,False,True,Direct IDCW,,,
142673,IDFC FIXED TERM PLAN SERIES - 141 (91 DAYS) - DIRECT - PERIODIC DIVIDEND,INF194KA17E9,IDFC FIXED TERM PLAN SERIES - 141 (91 DAYS) - DIRECT - PERIODIC DIVIDEND,fixed term series 141 91 days periodic,1.0,True,False,False,True,Direct IDCW,,,
147938,Indiabulls Liquid Fund- Direct Plan-Growth- Unclaimed Dividend < 3 Yrs,,Indiabulls Liquid Fund- Direct Plan-Growth- Unclaimed Dividend < 3 Yrs,indiabulls liquid fund unclaimed < 3 yrs,1.0,True,False,False,True,Direct IDCW,,,
